Indicator,Country,Date,value
Cumulative number of probable Ebola cases,Mali,23/09/2015,1
Cumulative number of suspected Ebola cases,Mali,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,23/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,23/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,23/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,23/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,23/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,23/09/2015,1
Cumulative number of probable Ebola cases,Senegal,23/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,23/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,23/09/2015,1
Cumulative number of probable Ebola cases,Spain,23/09/2015,0
Cumulative number of suspected Ebola cases,Spain,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,23/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,23/09/2015,4
Cumulative number of probable Ebola cases,United States of America,23/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,23/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,23/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,23/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,23/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,23/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,23/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,23/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,23/09/2015,0
Cumulative number of probable Ebola deaths,Spain,23/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,23/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,23/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,23/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,23/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,23/09/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,24/09/2015,3801
Cumulative number of probable Ebola deaths,Sierra Leone,24/09/2015,208
Cumulative number of suspected Ebola deaths,Sierra Leone,24/09/2015,158
Cumulative number of probable Ebola cases,Guinea,24/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,24/09/2015,2533
Cumulative number of confirmed Ebola cases,Liberia,24/09/2015,3151
Cumulative number of suspected Ebola cases,Liberia,24/09/2015,5636
Cumulative number of suspected Ebola cases,Sierra Leone,24/09/2015,4855
Cumulative number of confirmed Ebola deaths,Sierra Leone,24/09/2015,3589
Cumulative number of confirmed Ebola cases,Guinea,24/09/2015,3340
Cumulative number of suspected Ebola cases,Guinea,24/09/2015,8
Cumulative number of probable Ebola cases,Liberia,24/09/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,24/09/2015,4806
Cumulative number of probable Ebola cases,Sierra Leone,24/09/2015,287
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,24/09/2015,3955
Cumulative number of confirmed Ebola deaths,Guinea,24/09/2015,2080
Cumulative number of probable Ebola deaths,Guinea,24/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,24/09/2015,10666
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,24/09/2015,13846
Cumulative number of confirmed Ebola cases,Sierra Leone,24/09/2015,8704
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,24/09/2015,6
Cumulative number of probable Ebola cases,Liberia 2,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,24/09/2015,2
Cumulative number of confirmed Ebola cases,Liberia 2,24/09/2015,6
Cumulative number of confirmed Ebola deaths,Liberia 2,24/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,24/09/2015,1
Cumulative number of probable Ebola cases,Italy,24/09/2015,0
Cumulative number of suspected Ebola cases,Italy,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,24/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,24/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,24/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,24/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,24/09/2015,7
Cumulative number of probable Ebola cases,Mali,24/09/2015,1
Cumulative number of suspected Ebola cases,Mali,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,24/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,24/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,24/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,24/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,24/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,24/09/2015,1
Cumulative number of probable Ebola cases,Senegal,24/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,24/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,24/09/2015,1
Cumulative number of probable Ebola cases,Spain,24/09/2015,0
Cumulative number of suspected Ebola cases,Spain,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,24/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,24/09/2015,4
Cumulative number of probable Ebola cases,United States of America,24/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,24/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,24/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,24/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,24/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,24/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,24/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,24/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,24/09/2015,0
Cumulative number of probable Ebola deaths,Spain,24/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,24/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,24/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,24/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,24/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,24/09/2015,1
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,25/09/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,25/09/2015,3151
Cumulative number of probable Ebola cases,Liberia,25/09/2015,1879
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,25/09/2015,13855
Cumulative number of confirmed Ebola cases,Sierra Leone,25/09/2015,8704
Cumulative number of probable Ebola cases,Sierra Leone,25/09/2015,287
"Cumulative number of confirmed, probable and suspected Ebola cases",Guinea,25/09/2015,3797
Cumulative number of confirmed Ebola cases,Guinea,25/09/2015,3340
Cumulative number of suspected Ebola cases,Guinea,25/09/2015,4
Cumulative number of confirmed Ebola deaths,Guinea,25/09/2015,2080
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,25/09/2015,4806
"Cumulative number of confirmed, probable and suspected Ebola deaths",Sierra Leone,25/09/2015,3955
Cumulative number of probable Ebola deaths,Sierra Leone,25/09/2015,208
Cumulative number of probable Ebola cases,Guinea,25/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,25/09/2015,2533
Cumulative number of probable Ebola deaths,Guinea,25/09/2015,453
Cumulative number of suspected Ebola cases,Liberia,25/09/2015,5636
Cumulative number of suspected Ebola cases,Sierra Leone,25/09/2015,4864
Cumulative number of confirmed Ebola deaths,Sierra Leone,25/09/2015,3589
Cumulative number of suspected Ebola deaths,Sierra Leone,25/09/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia 2,25/09/2015,6
Cumulative number of confirmed Ebola cases,Liberia 2,25/09/2015,6
Cumulative number of probable Ebola cases,Liberia 2,25/09/2015,0
Cumulative number of confirmed Ebola deaths,Liberia 2,25/09/2015,2
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia 2,25/09/2015,2
Cumulative number of confirmed Ebola cases,Italy,25/09/2015,1
Cumulative number of probable Ebola cases,Italy,25/09/2015,0
Cumulative number of suspected Ebola cases,Italy,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Italy,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Italy,25/09/2015,1
Cumulative number of confirmed Ebola cases,United Kingdom,25/09/2015,1
Cumulative number of probable Ebola cases,United Kingdom,25/09/2015,0
Cumulative number of suspected Ebola cases,United Kingdom,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United Kingdom,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United Kingdom,25/09/2015,1
Cumulative number of confirmed Ebola cases,Mali,25/09/2015,7
Cumulative number of probable Ebola cases,Mali,25/09/2015,1
Cumulative number of suspected Ebola cases,Mali,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Mali,25/09/2015,6
"Cumulative number of confirmed, probable and suspected Ebola cases",Mali,25/09/2015,8
Cumulative number of confirmed Ebola cases,Nigeria,25/09/2015,19
Cumulative number of probable Ebola cases,Nigeria,25/09/2015,1
Cumulative number of suspected Ebola cases,Nigeria,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Nigeria,25/09/2015,20
Cumulative number of confirmed Ebola cases,Senegal,25/09/2015,1
Cumulative number of probable Ebola cases,Senegal,25/09/2015,0
Cumulative number of suspected Ebola cases,Senegal,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Senegal,25/09/2015,1
Cumulative number of confirmed Ebola cases,Spain,25/09/2015,1
Cumulative number of probable Ebola cases,Spain,25/09/2015,0
Cumulative number of suspected Ebola cases,Spain,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",Spain,25/09/2015,1
Cumulative number of confirmed Ebola cases,United States of America,25/09/2015,4
Cumulative number of probable Ebola cases,United States of America,25/09/2015,0
Cumulative number of suspected Ebola cases,United States of America,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola cases",United States of America,25/09/2015,4
Cumulative number of confirmed Ebola deaths,Nigeria,25/09/2015,7
Cumulative number of probable Ebola deaths,Nigeria,25/09/2015,1
Cumulative number of suspected Ebola deaths,Nigeria,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Nigeria,25/09/2015,8
Cumulative number of confirmed Ebola deaths,Senegal,25/09/2015,0
Cumulative number of probable Ebola deaths,Senegal,25/09/2015,0
Cumulative number of suspected Ebola deaths,Senegal,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Senegal,25/09/2015,0
Cumulative number of confirmed Ebola deaths,Spain,25/09/2015,0
Cumulative number of probable Ebola deaths,Spain,25/09/2015,0
Cumulative number of suspected Ebola deaths,Spain,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",Spain,25/09/2015,0
Cumulative number of confirmed Ebola deaths,United States of America,25/09/2015,1
Cumulative number of probable Ebola deaths,United States of America,25/09/2015,0
Cumulative number of suspected Ebola deaths,United States of America,25/09/2015,0
"Cumulative number of confirmed, probable and suspected Ebola deaths",United States of America,25/09/2015,1
"Cumulative number of confirmed, probable and suspected Ebola deaths",Guinea,28/09/2015,2533
Cumulative number of probable Ebola deaths,Guinea,28/09/2015,453
"Cumulative number of confirmed, probable and suspected Ebola cases",Sierra Leone,28/09/2015,13894
Cumulative number of confirmed Ebola deaths,Sierra Leone,28/09/2015,3589
Cumulative number of suspected Ebola deaths,Sierra Leone,28/09/2015,158
"Cumulative number of confirmed, probable and suspected Ebola cases",Liberia,28/09/2015,10666
Cumulative number of confirmed Ebola cases,Liberia,28/09/2015,3151
Cumulative number of probable Ebola cases,Liberia,28/09/2015,1879
Cumulative number of suspected Ebola cases,Liberia,28/09/2015,5636
"Cumulative number of confirmed, probable and suspected Ebola deaths",Liberia,28/09/2015,4806
